pub_date,post_title,post_url
"09 Dec, 2013 by ",Smart Tests Cleanup in 3 Steps,https://testfort.com/blog/smart-tests-cleanup-in-3-steps
"24 Sep, 2013 by ",Testing Techniques That You Were Not Using While Design Testing,https://testfort.com/blog/testing-techniques-that-you-never-used-while-design-testing
"20 Sep, 2013 by ",BugHuntress team will take part in StarWest conference,https://testfort.com/blog/bughuntress-team-will-take-part-in-starwest-conference
"12 Sep, 2013 by ",Automated testing with the help of Behavior driven testing (BDT),https://testfort.com/blog/automated-testing-with-behavior-driven-testing
"11 Jul, 2013 by ",The Peculiarities of XP Testing,https://testfort.com/blog/xp-testing
"01 Jun, 2013 by ",5 Tips on Successful Testing in a Crazy Pace,https://testfort.com/blog/5-tips-on-successful-testing-in-a-crazy-pace
"24 May, 2013 by ",Avoiding Dirty Codes,https://testfort.com/blog/avoiding-dirty-codes
"20 Apr, 2013 by ",How Do Small Businesses Benefit From Outside Testing?,https://testfort.com/blog/how-do-small-businesses-benefit-from-outside-testing
"02 Apr, 2013 by ",What can independent testing give your company,https://testfort.com/blog/what-can-independent-testing-give-your-company
"25 Mar, 2013 by ",7 Tips on How to Write a Test Plan,https://testfort.com/blog/7-tips-on-how-to-write-a-test-plan
"20 Mar, 2013 by ",So Different Types of Testing,https://testfort.com/blog/so-different-types-of-testing
"05 Mar, 2013 by ",First Steps in Linguistic Testing,https://testfort.com/blog/first-steps-in-linguistic-testing
"01 Mar, 2013 by ",8 Differences of True Testers from Fake Ones,https://testfort.com/blog/8-differences-of-true-testers-from-fake-ones
"01 Mar, 2013 by ",Where Can Testers Get Information?,https://testfort.com/blog/where-can-testers-get-information
"21 Feb, 2013 by ",6 Reasons Why Quality Assurance Is So Difficult,https://testfort.com/blog/6-reasons-why-quality-assurance-is-so-difficult
"01 Mar, 2013 by ",Software Testing and Sporting Achievement: What Unites Them?,https://testfort.com/blog/software-testing-and-sporting-achievement-what-unites-them
"05 Feb, 2013 by ",7 Tips on How to Successfully Integrate an Outside Testing Team,https://testfort.com/blog/7-tips-on-how-to-successfully-integrate-an-outside-testing-team
"03 Jan, 2013 by ",Why Agile Development Fails Sometimes?,https://testfort.com/blog/why-agile-development-fails-sometimes
"14 Dec, 2012 by ",BugHuntress QA Lab has Established a Tester School,https://testfort.com/blog/bughuntress-qa-lab-has-established-a-tester-school
"14 Dec, 2012 by ",Israeli ‘Harvest’ of Ukrainian Company BugHuntress QA Lab,https://testfort.com/blog/israeli-harvest-of-ukrainian-company-bughuntress-qa-lab
"14 Dec, 2012 by ",BugHuntress Expanding Cooperation with Communities,https://testfort.com/blog/bughuntress-expanding-cooperation-with-communities
"14 Dec, 2012 by ",Mobile Usability Testing: Problems and Solutions,https://testfort.com/blog/mobile-usability-testing-problems-and-solutions-2
"14 Dec, 2012 by ",BugHuntress QA Lab Reports 85% Growth in 2007,https://testfort.com/blog/bughuntress-qa-lab-reports-85-growth-in-2007
"14 Dec, 2012 by ",6 years of software testing and 3 steps to success,https://testfort.com/blog/6-years-of-software-testing-and-3-steps-to-success
"06 Dec, 2012 by ",Value of Test Coverage: The Main Issues Related to Quality,https://testfort.com/blog/value-of-test-coverage-the-main-issues-related-to-quality
"29 Oct, 2012 by ",Skype Appreciates BugHuntress Work,https://testfort.com/blog/skype-appreciates-bughuntress-work
"05 Oct, 2012 by ",5 Pieces of Advice for Designing Test Data before Test Cases,https://testfort.com/blog/5-pieces-of-advice-for-designing-test-data-before-test-cases
"15 Oct, 2012 by ",5 Steps of the Testing Process,https://testfort.com/blog/5-steps-of-the-testing-process
"05 Sep, 2012 by ",8 Tips For Writing a Good Bug Report,https://testfort.com/blog/8-tips-for-writing-a-good-bug-report
"28 Aug, 2012 by ",8 Factors That Cause Software Bugs,https://testfort.com/blog/8-factors-that-cause-software-bugs
"24 Aug, 2012 by ",Some Words about Test Coverage,https://testfort.com/blog/some-words-about-test-coverage
"14 Aug, 2012 by ",Test Design Techniques,https://testfort.com/blog/test-design-techniques
"07 May, 2012 by ",How to make the software testing more effective with Virtual Server,https://testfort.com/blog/how-to-make-the-software-testing-more-effective-with-virtual-server
"06 Apr, 2012 by ",Everything about testing: black box approach,https://testfort.com/blog/black-box-approach
"12 Mar, 2012 by ",Things you may not need to test,https://testfort.com/blog/things-you-may-not-need-to-test
"01 Mar, 2012 by ",Getting better at software testing and finding defects quicker,https://testfort.com/blog/getting-better-at-software-testing-and-finding-defects-quicker
"16 Feb, 2012 by ",iCheckWebsite: Simple Website Checking,https://testfort.com/blog/icheckwebsite-for-website-checking
"15 Feb, 2012 by ",A/B Usability Testing for WordPress Themes,https://testfort.com/blog/a-b-usability-testing-for-wp-theme
"06 Feb, 2012 by ",Precious Advices about Running a Database on Bare Metal,https://testfort.com/blog/precious-advices-about-running-a-database-on-bare-metal
"25 Jan, 2012 by ","How Quality Assurance, Quality Control, And Testing can be distinguished?",https://testfort.com/blog/how-quality-assurance-quality-control-and-testing-can-be-distinguished
